Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,NewClaimAmount,NewCloseAmount,Amount Differences
2007050424978,2007-05-02 00:00:00,2007-04-20 00:00:00,IAD,Washington Dulles International,KLM Royal Dutch Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,$350.00 ,Denied,$0.00 ,Deny,12.0,350.0,0.0,350.0
2005082491364,2005-08-16 00:00:00,2005-07-11 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,$1;500.00 ,Denied,$0.00 ,Deny,36.0,1500.0,0.0,1500.0
0202358M,2004-02-02 00:00:00,2003-06-30 00:00:00,PDX,Portland International,Southwest Airlines,Property Damage,Checked Baggage,Eyeglasses - (including contact lenses),$60.00 ,Approved,$60.00 ,Approve in Full,217.0,60.0,60.0,0.0
2005092893371,2005-09-19 00:00:00,2005-06-29 00:00:00,SYR,Syracuse-Hancock International,UAL,Property Damage,Checked Baggage,Locks,$15.00 ,Approved,$15.00 ,Approve in Full,82.0,15.0,15.0,0.0
2008051944483,2008-05-11 00:00:00,2008-04-30 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),$80.00 ,Denied,$0.00 ,Deny,11.0,80.0,0.0,80.0
2005081090314,2005-08-02 00:00:00,2005-07-14 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$497.45 ,Denied,$0.00 ,Deny,19.0,497.45,0.0,497.45
2008082148948,2008-08-20 00:00:00,2008-08-12 00:00:00,DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,$234.00 ,Denied,$0.00 ,Deny,8.0,234.0,0.0,234.0
2007080829879,2007-08-06 00:00:00,2007-07-31 00:00:00,LIT,Little Rock National,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Costume; Other,$330.00 ,Denied,$0.00 ,Deny,6.0,330.0,0.0,330.0
2005120897299,2005-11-29 00:00:00,2005-09-23 00:00:00,GEG,Spokane International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,$63.95 ,Settled,$32.00 ,Settle,67.0,63.95,32.0,31.950000000000003
0605008L,2003-06-05 00:00:00,2003-05-14 00:00:00,PHX,Phoenix Sky Harbor International,America West,Property Damage,Checked Baggage,DVD/CD Players,$80.00 ,Settled,$50.00 ,Settle,22.0,80.0,50.0,30.0
1119182M,2003-11-19 00:00:00,2003-11-09 00:00:00,SAN,San Diego International,UAL,Property Damage,Checked Baggage,Other,$66.00 ,Approved,$66.00 ,Approve in Full,10.0,66.0,66.0,0.0
2005052485513,2005-05-23 00:00:00,2005-04-24 00:00:00,STL,Lambert St. Louis International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,$144.99 ,Settled,$88.28 ,Settle,29.0,144.99,88.28,56.71000000000001
2006013000563,2006-01-23 00:00:00,2006-01-08 00:00:00,SLC,Salt Lake City International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,$31.93 ,Denied,$0.00 ,Deny,15.0,31.93,0.0,31.93
2004101965238,2004-09-09 00:00:00,2004-07-31 00:00:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checked Baggage,Locks,$32.40 ,Denied,$0.00 ,Deny,40.0,32.4,0.0,32.4
2008073047726,2008-07-25 00:00:00,2008-04-08 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Continental Airlines,Property Damage,Checkpoint,Computer - Laptop,$781.99 ,Settled,$678.85 ,Settle,108.0,781.99,678.85,103.13999999999999
2007031422262,2007-03-13 00:00:00,2007-03-06 00:00:00,BOI,Boise Air Terminal/Gowen Field,Delta Air Lines,Passenger Property Loss,Checked Baggage,Tools - Manual (not in a vehicle),$21.20 ,Denied,$0.00 ,Deny,7.0,21.2,0.0,21.2
2006060907726,2006-06-08 00:00:00,2006-06-01 00:00:00,PHL,Philadelphia International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Medical Equipment & Insturments,$109.99 ,Denied,$0.00 ,Deny,7.0,109.99,0.0,109.99
2004091062613,2004-08-10 00:00:00,2004-07-09 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Theft,Checked Baggage,Other,$1;440.00 ,Denied,$0.00 ,Deny,32.0,1440.0,0.0,1440.0
